STORE_NAME,ADDRESS,LATITUDE,LONGITUDE
Triangle Mini Mart,4003 Fayetteville St,35.949211,-78.903282
Morehead Mini Mart,1601 Morehead Ave,35.99189,-78.921532
Food Lion #939,4621 Hillsborough Rd,36.032082,-78.97963
Durham Food World,401 E Lakewood Ave # A,35.987774,-78.899963
Food Lion #747,3500 N Roxboro St,36.037621,-78.892548
Walmart Supercenter #1614,1525 Glenn School Rd,36.02831257,-78.84345849
Mi Barrio Grocery,2405 Guess Rd,36.026218,-78.922592
Fay Street Grocery & Grill,1302 Fay St,35.99883,-78.880441
Sunshine Mart,2014 Guess Rd,36.02301,-78.917839
Parkview Mini Mart,433 E Pilot St,35.964088,-78.907593
Leone International Foods,810 Fayetteville St # 108,35.98531,-78.89904
Sprouts Farmers Market,105 W NC 54 Hwy,35.91002276,-78.93842678
New York Mini Mart,2929 Angier Ave,35.972988,-78.866417
Fresh Market,4215 University Dr # A3,35.962769,-78.95871
Joy Speed Mart,1624 Glenn School Rd,36.03125,-78.84041
Around The World Market,1708 E NC Highway 54,35.901958,-78.902428
Al-Taiba Market,1008 W Chapel Hill St,35.99713,-78.91571
Food Lion #2646,"2121 TW Alexander Dr # 107, Morrisville, NC 27560",35.92025,-78.810379
King's Red & White Supermarket,305 E Club Blvd,36.019871,-78.889549
One Hop Food Mart,2021 Guess Rd,36.022877,-78.918465
Whole Foods Market,621 Broad St,36.006992,-78.920631
Tortilleria Miguelena,4739 NC Highway 55,35.900902,-78.895836
Aldi,7906 NC Highway 751,35.900043,-78.960838
Harris Teeter #120,"116 W Barbee Chapel Rd, Chapel Hill, NC 27517",35.906368,-79.010422
Target,4037 Durham Chapel Hill Blvd,35.966274,-78.959015
Harris Teeter #172,1817 Martin Luther King Pkwy,35.959801,-78.959358
Halgo European Deli & Grocery,4520 S Alston Ave,35.90189,-78.889214
Harris Teeter #497,1802 North Pointe Dr,36.02923872,-78.92135065
Geer St. Mini Mart,201 E Geer St,36.003521,-78.892799
Compare Foods,2000 Avondale Dr,36.01510506,-78.88813431
Harris Teeter #304,"10440 Glenwood Ave, Raleigh, NC 27617",35.967809,-78.84068
Compare Foods,1233 University Dr,35.985157,-78.909569
Walmart Supercenter #2137,5450 New Hope Commons Dr,35.95481446,-78.99896771
Walmart Supercenter,1525 Glenn School Rd,36.028511,-78.843781
Carlie C's IGA,3729 Wake Forest Rd,35.982334,-78.821747
U C Stop,710 S Alston Ave,35.97987,-78.891968
La Central Market,2022 Guess Rd #C,36.023293,-78.918121
Circus Food Store,3801 Wake Forest Rd,35.981747,-78.820549
Walmart Supercenter,5450 New Hope Commons Dr,35.954521,-78.998642
Shilla Oriental Market Llc,2107 Allendown Dr # 103,35.89912,-78.895309
Guess Road Minimart,2014 Guess Rd,36.02301,-78.917839
Save-A-Lot,812 Liberty St,35.99231,-78.886513
Harris Teeter #492,3457 Hillsborough Rd,36.01892963,-78.94845289
Plaza Latina,3801 Wake Forest Rd # 118,35.981747,-78.820549
Sheetz,3414 Hillsborough Rd,36.019539,-78.94593
Lighthouse Food Mart,2944 Holloway St,35.986542,-78.844269
Trinity Food Mart,403 W Trinity Ave,36.0051809,-78.90176467
Tienda Mi Tierra,4226 Garrett Rd #C,35.959518,-78.976059
Food Lion #420,3808 Guess Rd,36.05851,-78.927773
Food Lion #234,2400 Holloway St # C,35.989285,-78.859421
Bilboa Food Mart,3639 Angier Ave,35.956638,-78.851891
Food Lion #885,4900 NC Highway 55 # 300,35.899097,-78.898186
University Market,1108 W Chapel Hill St,35.997002,-78.916512
Harris Teeter #493,5116 N Roxboro St,36.06918,-78.906609
Food Lion #1343,2000 Chapel Hill Rd,35.987659,-78.927582
Sheetz,4010 Convenient Ln,35.858643,-78.894165
Variety Mini Mart,2534 S Roxboro St #B,35.965839,-78.919061
Star Mini Mart,1708 E NC Highway 54,35.901957,-78.902424
Triangle Mini Mart,2508 Hillsborough Rd,36.010786,-78.928316
Buy Quick Food Marts,419 S Briggs Ave,35.981079,-78.874763
Li Ming's Global Mart,3400 Westgate Dr # 14A,35.96645,-78.961189
Billy's Mart,3834 Cheek Rd,36.02174,-78.810081
Costco Wholesale,1510 N Pointe Dr,36.02919,-78.914497
Royal's Mini Mart,1907 Cheek Rd,36.00539,-78.866562
Sam's Club,4005 Durham-Chapel Hill Blvd,35.967388,-78.956627
In & Out Food Mart,911 Fayetteville St,35.984447,-78.89859
Juma's Food Market,1026 Holloway St,35.994186,-78.881974
Tortilleria Miguelena,3205 University Dr,35.96747115,-78.94152259
USA Mini Mart,1224 Fayetteville St,35.981471,-78.899459
Food Lion #274,4711 Hope Valley Rd,35.920921,-78.956421
Handi Foods,518 E Trinity Ave,36.006927,-78.885864
Durham Co-Op Market,1111 W Chapel Hill St,35.99643,-78.9166
R & M's Snack Shack,832 Ridgeway Ave,35.97678,-78.8907
Harris Teeter #394,2107 Hillsborough Rd,36.009769,-78.92408
Walmart Supercenter #5118,"10050 Glenwood Ave, Raleigh 27617",35.91251056,-78.77791508
Harris Teeter #254,1501 Horton Rd,36.056541,-78.930969
Roxboro Pure Mart,101 E Cornwallis Rd,35.965435,-78.919334
Southside Tobacco And Grocery,1111 S Roxboro St,35.982906,-78.902504
Los Primos Supermarket,1109 E Main St,35.987991,-78.887939
Lagos Meat Market Llc,3438 Hillsborough Rd # C,36.0202,-78.94686
Food Lion #1099,2930 W Main St,36.014011,-78.933769
M&M Mini Mart,2128 Angier Ave,35.98114,-78.876518
Harris Teeter #224,1125 W NC Highway 54 # 310,35.917683,-78.95845
Food Lion #57,5279 N Roxboro Rd,36.076511,-78.911224
Little India,4201 University Dr # 110,35.964611,-78.957458
Fast Food Mart,5801 N Roxboro Rd,36.10164397,-78.91070886
Bulldega Urban Market,129 W Parrish St,35.99600795,-78.90141417
Stop 1 Foodmart,1103 N Miami Blvd,35.993885,-78.870476
Sam's Club Pharmacy,4005 Durham Chapel Hill Blvd,35.967388,-78.956627
Target,8210 Renaissance Pkwy,35.903931,-78.953079
Compare Foods,2000 Avondale Dr # A,36.016449,-78.886009
Food Lion #2589,121 Sherron Rd # 210,35.974571,-78.792908