LIBRARY_NAME,ADDRESS,LATITUDE,LONGITUDE
Main Library,"300 N. Roxboro St.
Durham, NC 27701",35.99505161,-78.89656493
East Regional Library,"211 Lick Creek Ln.
Durham, NC 27703",35.97861364,-78.80949397
North Regional Library,"211 Milton Rd.
Durham, NC 27712",36.08760124,-78.91441789
South Regional Library,"4505 S. Alston Ave.
Durham, NC 27713",35.90206524,-78.88821185
Southwest Regional Library,"3605 Shannon Rd.
Durham, NC 27707",35.95929726,-78.95434813
Stanford L. Warren Branch Library,"1201 Fayetteville St.
Durham, NC 27707",35.98265948,-78.89857763
Bragtown Library Family Literacy Center,"3200 Dearborn Dr.
Durham, NC 27704",36.03760676,-78.87182059
James E. Shepard Memorial Library,"1801 Fayetteville St,
Durham, NC 27707",35.97438089,-78.89855191