NAME,LATITUDE,LONGITUDE,,,,,,,,,,,,,,
C.C. Spaulding Elementary,35.97819974,-78.9061455,,,,,,,,,,,,,,
Eastway Elementary,35.99090255,-78.88518919,,,,,,,,,,,,,,
E.K. Powe Elementary,36.01290459,-78.92254165,,,,,,,,,,,,,,
Fayetteville Street Elementary,35.96464038,-78.90593379,,,,,,,,,,,,,,
Forest View Elementary,35.98923713,-78.99231804,,,,,,,,,,,,,,
Lakewood Elementary,35.98288307,-78.93534584,,,,,,,,,,,,,,
Parkwood Elementary,35.89169037,-78.90662906,,,,,,,,,,,,,,
Southwest Elementary,35.92889671,-78.92358779,,,,,,,,,,,,,,
Hillside High,35.95339276,-78.90357409,,,,,,,,,,,,,,
Jordan High,35.92390841,-78.9613309,,,,,,,,,,,,,,
Club Boulevard Elementary,36.01893756,-78.89716392,,,,,,,,,,,,,,
Hillandale Elementary,36.05236068,-78.93291587,,,,,,,,,,,,,,
Brogden Middle,36.02501028,-78.90877192,,,,,,,,,,,,,,
Lakewood Montessori Middle,35.9849252,-78.92847496,,,,,,,,,,,,,,
Lowes Grove Middle,35.90460598,-78.89125923,,,,,,,,,,,,,,
Riverside High,36.06566786,-78.94334034,,,,,,,,,,,,,,
Eno Valley Elementary,36.08541,-78.9119,,,,,,,,,,,,,,
Glenn Elementary,36.0287,-78.8371,,,,,,,,,,,,,,
Creekside Elementary,35.9287,-78.9935,,,,,,,,,,,,,,
Easley Elementary,36.0759,-78.9263,,,,,,,,,,,,,,
Burton,35.9792,-78.8877,,,,,,,,,,,,,,
Bethesda,35.94237,-78.83834,,,,,,,,,,,,,,
George Watts,36.00817,-78.91012,,,,,,,,,,,,,,
Holt,36.0565,-78.90782,,,,,,,,,,,,,,
Hope Valley,35.9674,-78.9381,,,,,,,,,,,,,,
Little River K-8,36.09869,-78.86366,,,,,,,,,,,,,,
Morehead Montessori Magnet,35.9887,-78.9137,,,,,,,,,,,,,,
Merrick-Moore Elementary,36.0055,-78.8521,,,,,,,,,,,,,,
Oak Grove Elementary,35.9799,-78.8195,,,,,,,,,,,,,,
Pearsontown Elementary,35.9323,-789086,,,,,,,,,,,,,,
W.G.Pearson Elementary,35.95826,-78.90769,,,,,,,,,,,,,,
Sandy Ridge Elementary,34.96813,-80.80199,,,,,,,,,,,,,,
R.N. Harris Elementary,35.97146,-78.88387,,,,,,,,,,,,,,
Spring Valley Elementary,35.95612,-78.81522,,,,,,,,,,,,,,
Y.E Smith Elementary,35.98547,-78.87286,,,,,,,,,,,,,,
Lowes Grove Middle,35.90461,-78.89126,,,,,,,,,,,,,,
Sherwood Githens,35.94427,-78.97978,,,,,,,,,,,,,,
Lucas,36.10914,-78.88588,,,,,,,,,,,,,,
Carrington,36.08757,-78.91818,,,,,,,,,,,,,,
Neal,35.97812,-78.7812,,,,,,,,,,,,,,
Rodgers-Herr,35.97283,-78.93391,,,,,,,,,,,,,,
Shepard,35.96548,-78.89958,,,,,,,,,,,,,,
Durham School of the Arts,36.00297,-78.9059,,,,,,,,,,,,,,
School for Creative Studies,36.07204,-78.82223,,,,,,,,,,,,,,
Brogden Middle,36.02501,-78.90877,,,,,,,,,,,,,,
Lakewood Montessori Middle,35.98493,-78.92847,,,,,,,,,,,,,,
Lowes Grove Middle,35.90461,-78.89126,,,,,,,,,,,,,,
Sherwood Githens,35.94427,-78.97978,,,,,,,,,,,,,,
Lucas,36.10914,-78.88588,,,,,,,,,,,,,,
Carrington,36.08757,-78.91818,,,,,,,,,,,,,,
Neal,35.97812,-78.7812,,,,,,,,,,,,,,
Rodgers-Herr,35.97283,-78.93391,,,,,,,,,,,,,,
Shepard,35.96548,-78.89958,,,,,,,,,,,,,,
Durham School of the Arts,36.00297,-78.9059,,,,,,,,,,,,,,
School for Creative Studies,36.07204,-78.82223,,,,,,,,,,,,,,